,Alt,Time,P,T,Hu,Ws,Wd,Long,Lat,Geopot,MRI,RI,Dewp.,Virt,Rs,Elevation,Azimuth,Range,D,U,V,Ufiltered,Vfiltered,Tpotential,bv2,TemperatureFiltered
3449,17430,4020.0,84.3,-61.3,2.0,30.7,311.0,-79.680652,41.716315,17377.0,2767.56,31.019,-87.1,-61.3,4.9,13.4,116.0,72734.0,0.138614,20.141012190008567,23.169584112839107,2.1903153391216224,-3.3762164372315047,431.80430532227354,0.0,-2.9313656407804265
3450,17435,4021.0,84.2,-61.3,2.0,30.7,310.0,-79.680387,41.716149,17382.0,2768.327,31.001,-87.1,-61.3,4.9,13.4,116.0,72762.0,0.13853,19.733579617376755,23.517564403752626,2.173428585940104,-3.4141542757664713,431.9509130487331,0.0006656916872972349,-2.9356525688178596
3451,17440,4022.0,84.1,-61.4,2.0,30.7,311.0,-79.680122,41.715982,17387.0,2769.062,30.982,-87.1,-61.4,4.8,13.4,116.0,72791.0,0.138446,20.141012190008567,23.169584112839107,2.154842858743328,-3.451416367079448,431.89473910986254,-0.0002550983412118401,-2.939792833317615
3452,17445,4023.0,84.1,-61.4,2.0,30.6,310.0,-79.679857,41.715816,17391.0,2769.782,30.964,-87.2,-61.4,4.7,13.4,116.0,72819.0,0.138364,19.669300856408103,23.440959959440733,2.13455924567233,-3.4879742124900197,431.89473910986254,0.0,-2.9437882952344987
3453,17450,4024.2,84.0,-61.5,2.0,30.580000000000002,310.0,-79.6795388,41.7156166,17397.0,2770.646,30.942400000000003,-87.2,-61.5,4.7,13.4,116.0,72853.6,0.13826739999999998,19.65644510421437,23.425639070578352,2.1125790494638097,-3.52379859703465,431.83865168951434,-0.00025473852264303363,-2.9476411598551473
3454,17455,4025.2,83.98,-61.5,2.0,30.48,310.0,-79.67927300000001,41.7154498,17402.0,2771.3692,30.924400000000002,-87.22,-61.5,4.7,13.4,116.0,72881.6,0.1381888,19.592166343245715,23.349034626266455,2.0889006670490993,-3.5588581980940175,431.8680623480792,0.0001335685872426129,-2.9513539447608474
3455,17460,4026.2,83.88000000000001,-61.52,2.0,30.38,310.0,-79.67900800000001,41.7152836,17406.8,2772.1018,30.9064,-87.3,-61.52,4.7,13.4,116.0,72909.8,0.1381074,19.52788758227706,23.272430181954554,2.063522176579447,-3.5931226341571487,431.9746192931149,0.000483809288029252,-2.954928928416357
3456,17465,4027.2,83.8,-61.6,2.0,30.28,310.0,-79.67874300000001,41.715116800000004,17411.0,2772.8272,30.8884,-87.3,-61.6,4.74,13.4,116.0,72938.6,0.1380248,19.46360882130841,23.195825737642657,2.036443487272663,-3.62656559028972,431.9299509217221,-0.00020283246548884524,-2.9583676395690635
3457,17470,4028.25,83.775,-61.625,2.0,30.175,310.0,-79.67846475,41.71494225,17416.25,2773.61575,30.8695,-87.325,-61.625,4.9,13.4,116.0,72968.25,0.1379395,19.39611612229132,23.115391071115166,2.007665990332979,-3.6591650670968496,431.91600353442675,-6.33350672355269e-05,-2.961671459849452
3458,17475,4029.4,83.66,-61.7,2.0,30.060000000000002,310.0,-79.67815999999999,41.7147506,17422.0,2774.4794,30.8484,-87.4,-61.7,4.9,13.4,116.0,73001.2,0.1378444,19.322195547177373,23.027295960156483,1.9771924823940141,-3.690903300645878,431.9332403475757,7.826922212841803e-05,-2.9648421829052194
